name,rt,pair,foil,trial,error,first_press
16,1.355914,1,10,9,1,1
16,1.417866,3,6,14,1,2
16,1.340287,4,8,4,1,1
16,1.747187,2,7,15,1,2
16,1.402054,2,5,7,0,1
16,1.726911,3,9,10,1,1
17,2.008828,4,8,16,1,2
17,2.428782,1,5,13,0,2
17,3.207057,1,5,1,1,1
17,2.747747,2,5,19,1,2
17,1.490832,2,7,3,0,1
17,3.097311,4,8,4,1,1
17,2.043461,3,6,2,1,1
17,2.878271,4,6,8,1,1
17,3.544431,1,10,9,0,1
17,1.839434,2,7,15,0,2
17,3.082658,1,10,21,0,2
17,2.426927,3,9,22,1,2
17,5.985118,2,5,7,1,1
17,1.773712,3,9,10,1,1
17,5.291863,3,6,14,0,2
17,2.370075,4,6,20,1,2
18,2.507076,4,6,8,0,1
18,1.640956,2,5,7,0,1
18,1.740355,1,5,1,0,1
18,2.299657,3,6,14,0,2
18,2.460048,2,7,15,0,2
18,1.565488,3,6,2,1,1
18,1.771924,4,8,16,1,2
18,1.505203,2,7,3,1,1
18,1.436663,2,5,19,1,2
18,2.215953,4,8,4,1,1
18,1.035175,1,5,13,1,2
18,1.771573,3,9,22,0,2
18,2.49258,4,6,20,0,2
18,1.149361,3,9,10,0,1
18,1.111281,1,10,21,1,2
18,1.142988,1,10,9,0,1
19,3.764192,3,9,22,0,2
19,1.607986,1,5,1,0,1
19,2.285426,4,8,16,0,2
19,1.297048,4,6,20,0,2
19,1.03485,2,5,7,0,1
19,2.819748,2,5,19,0,2
19,5.207087,3,6,2,0,1
19,3.364318,1,10,9,1,1
19,1.754009,2,7,15,0,2
19,1.182729,2,7,3,0,1
19,1.468303,4,6,8,0,1
19,1.470105,1,10,21,1,2
19,2.481384,1,5,13,0,2
19,1.490542,4,8,4,0,1
19,1.691039,3,6,14,0,2
19,1.660926,3,9,10,0,1
20,3.864828,1,5,13,0,2
20,4.105664,1,10,9,1,1
20,2.378284,1,10,21,1,2
20,2.056373,2,5,19,0,2
20,2.159264,4,6,20,0,2
20,2.885192,3,9,22,0,2
20,4.405655,4,6,8,0,1
20,1.907209,4,8,4,1,1
20,1.618892,3,6,14,0,2
20,1.678306,1,5,1,0,1
20,2.290409,2,7,15,1,2
20,1.039299,2,7,3,0,1
20,4.646014,2,5,7,1,1
20,2.072676,3,6,2,0,1
20,1.532877,4,8,16,0,2
20,1.855385,3,9,10,0,1
21,1.351368,3,9,10,1,1
21,1.293049,1,5,1,0,1
21,1.246041,1,10,9,0,1
21,1.460202,4,6,8,1,1
21,1.574415,2,5,19,0,2
21,1.340206,1,10,21,1,2
21,1.50928,2,7,15,1,2
21,1.758163,1,5,13,0,2
21,1.884858,4,6,20,1,2
21,1.39825,2,5,7,0,1
21,1.354787,3,6,2,1,1
21,1.632901,4,8,16,1,2
21,1.380737,2,7,3,0,1
21,1.367529,3,6,14,1,2
21,1.348116,3,9,22,1,2
21,1.331445,4,8,4,1,1
22,3.041902,1,6,2,0,1
22,2.102617,2,7,15,0,2
22,2.174978,3,5,13,0,2
22,1.221058,4,8,4,0,1
22,1.276154,2,5,19,1,2
22,1.310536,3,10,21,1,2
22,1.275726,1,9,10,0,1
22,5.535729,1,6,14,0,2
22,2.039129,3,5,1,0,1
22,1.625812,2,7,3,1,1
22,1.431373,3,10,9,1,1
22,1.579152,2,5,7,0,1
22,1.353559,1,9,22,0,2
