name,rt,error,correct_key,trial,pair1,pair2,trial_types
1,1.115157,1,3,67,3,11,4
1,1.147011,0,1,29,2,10,8
1,1.775411,0,1,83,4,12,2
1,0.92943,0,1,17,1,10,1
1,1.416611,0,1,40,2,10,8
1,0.720757,0,2,33,2,11,2
1,0.995331,1,2,32,2,11,2
1,0.874808,0,1,82,4,12,2
1,1.206785,0,3,86,4,9,4
1,1.498411,0,3,39,2,9,4
1,1.383024,0,1,23,1,12,8
1,1.384913,1,3,31,2,11,4
1,1.39005,1,1,95,4,12,2
1,1.145428,0,2,90,4,10,1
1,1.116212,0,2,9,1,11,2
1,1.444519,0,1,65,3,10,2
1,1.349331,0,3,3,1,9,3
1,1.288974,0,3,134,4,3,7
1,1.063882,0,1,41,2,10,1
1,1.528679,1,2,21,1,11,2
1,1.000603,0,2,73,4,9,1
1,1.06581,1,1,124,3,4,6
1,0.826214,0,2,66,3,10,1
1,0.641856,0,2,81,4,11,1
1,1.172886,0,3,135,4,3,7
1,1.181694,1,1,16,1,10,8
1,1.27022,0,1,64,3,10,2
1,1.670572,0,3,12,1,12,4
1,1.23654,0,1,118,2,1,5
1,1.159298,1,2,68,3,11,1
1,1.458469,1,3,50,3,9,3
1,0.646919,0,2,13,1,9,2
1,0.967181,0,3,144,4,3,7
1,0.824381,0,3,96,4,12,3
1,1.221883,0,1,22,1,12,1
1,0.961953,1,2,49,3,9,1
1,1.232902,0,3,48,2,12,3
1,1.027154,0,3,51,3,9,4
1,1.077435,0,2,126,3,4,5
1,0.587548,0,2,6,1,10,2
1,1.499595,1,2,45,2,11,2
1,1.117241,0,1,53,3,10,2
1,1.06657,0,3,2,1,9,3
1,1.147009,0,2,37,2,9,2
1,1.284995,0,1,88,4,10,2
1,0.796889,0,1,112,2,1,5
1,0.85235,1,2,54,3,10,8
1,0.956961,0,1,137,4,3,6
1,0.951254,1,1,106,1,2,5
1,0.982879,0,2,93,4,11,8
1,1.23809,0,3,123,3,4,7
1,1.513699,0,1,65,3,10,2
1,0.860915,0,1,29,2,10,8
1,1.085415,0,2,18,1,10,2
1,1.388021,0,1,47,2,12,8
1,1.159286,0,1,71,3,12,2
1,0.958176,1,1,46,2,12,1
1,1.24729,0,3,74,4,9,3
1,1.114962,0,3,67,3,11,4
1,1.031137,0,2,140,4,3,5
1,1.185288,0,3,132,3,4,7
1,1.291449,1,1,94,4,12,2
1,1.081695,0,1,142,4,3,6
1,1.390344,0,3,31,2,11,4
1,1.069896,0,1,82,4,12,2
1,1.220018,0,3,72,3,12,3
1,1.794316,1,3,108,1,2,7
1,1.108823,1,2,105,1,2,6
1,0.895105,0,1,5,1,10,8
1,1.201051,0,2,138,4,3,5
1,1.067861,1,3,63,3,9,3
1,1.208987,0,3,120,2,1,7
1,0.860024,0,1,28,2,10,1
1,1.083655,0,3,122,3,4,7
1,0.802042,0,2,116,2,1,6
1,0.623933,0,2,32,2,11,2
1,0.62953,0,1,101,1,2,5
1,0.755875,1,3,62,3,9,4
1,0.66919,0,1,100,1,2,5
1,0.792837,0,2,97,1,2,6
1,0.872988,0,3,134,4,3,7
1,1.192543,0,3,84,4,12,4
1,1.104623,0,3,98,1,2,7
1,0.653375,0,1,131,3,4,6
1,1.078182,0,2,102,1,2,6
1,0.581792,0,2,6,1,10,2
1,1.021714,1,3,60,3,12,4
1,0.678067,1,2,30,2,10,2
1,1.399059,0,1,76,4,10,2
1,1.017828,0,1,89,4,10,2
1,0.834955,0,1,22,1,12,1
1,0.837067,0,2,42,2,10,2
1,1.041796,0,1,40,2,10,8
1,1.275491,0,2,49,3,9,1
1,1.169775,1,3,103,1,2,7
1,1.182392,0,2,129,3,4,5
1,1.172707,1,3,55,3,11,3
1,0.712772,1,1,83,4,12,2
1,0.796178,0,2,45,2,11,2
1,1.057169,1,1,35,2,12,1
1,0.998522,0,1,143,4,3,6
1,1.857329,0,3,43,2,11,3
1,1.594665,0,3,39,2,9,4
1,0.963157,0,2,133,4,3,5
1,1.122792,0,1,11,1,12,1
1,0.869798,0,1,124,3,4,6
1,1.208653,0,1,41,2,10,1
1,0.933946,0,1,77,4,10,2
1,0.735156,0,1,17,1,10,1
1,1.093301,1,2,104,1,2,6
1,0.862447,0,2,114,2,1,6
1,1.157001,0,3,115,2,1,7
1,1.841222,1,3,12,1,12,4
1,1.271971,0,2,1,1,9,2
1,1.40502,0,3,86,4,9,4
1,0.894116,0,3,75,4,9,4
1,0.685136,0,2,68,3,11,1
1,1.312567,1,2,33,2,11,2
1,0.709325,0,2,20,1,11,2
1,1.100409,0,3,38,2,9,4
1,0.860999,0,1,70,3,12,2
1,0.826341,1,3,2,1,9,3
