name,rt,error,correct_key,trial,pair1,pair2,trial_types
1,1.244148,0,2,82,4,12,8
1,0.946818,0,3,36,2,12,4
1,1.259632,0,2,4,1,10,2
1,1.369102,0,1,89,4,10,2
1,1.209394,1,1,99,1,2,5
1,1.215348,1,1,26,2,9,8
1,1.366092,0,1,122,3,4,6
1,0.845513,0,1,62,3,9,2
1,1.096451,0,2,73,4,9,1
1,0.820797,0,1,103,1,2,5
1,1.086949,1,2,40,2,10,2
1,1.188636,0,3,48,2,12,3
1,1.276656,0,3,35,2,12,3
1,0.612922,0,2,49,3,9,1
1,1.043363,0,2,141,4,3,5
1,1.12661,0,3,20,1,11,3
1,1.536974,0,1,55,3,11,2
1,1.827994,0,3,108,1,2,7
1,2.393139,0,1,63,3,9,2
1,1.625181,0,2,9,1,11,2
1,0.722561,0,2,117,2,1,6
1,1.132543,0,3,102,1,2,7
1,1.272008,0,3,60,3,12,3
1,1.349633,0,3,18,1,10,4
1,1.081784,0,1,86,4,9,2
1,1.434809,0,3,131,3,4,7
1,2.144969,0,1,5,1,10,8
1,1.013168,0,2,25,2,9,2
1,1.960196,0,3,24,1,12,3
1,0.918081,1,1,123,3,4,6
1,0.73264,0,1,75,4,9,2
1,0.887718,0,1,43,2,11,8
1,0.791431,0,2,45,2,11,2
1,0.755584,0,2,22,1,12,2
1,1.170205,0,2,16,1,10,2
1,1.456858,0,3,126,3,4,7
1,0.951039,1,3,8,1,11,4
1,1.284169,0,2,93,4,11,1
1,2.263785,0,3,96,4,12,4
1,0.878732,0,2,121,3,4,5
1,0.62905,0,1,15,1,9,8
1,0.986953,0,3,84,4,12,3
1,1.281913,0,2,109,2,1,6
1,0.925481,0,1,38,2,9,1
1,1.14991,0,1,127,3,4,6
1,1.076081,0,3,114,2,1,7
1,1.088587,0,1,77,4,10,2
1,1.434819,0,2,133,4,3,5
1,0.62148,0,2,100,1,2,6
1,0.803665,1,2,58,3,12,8
1,0.777189,0,2,130,3,4,5
1,0.832363,0,1,101,1,2,5
1,1.675887,0,2,106,1,2,6
1,1.401905,1,1,14,1,9,1
1,1.687048,0,2,142,4,3,5
1,0.708479,0,1,135,4,3,6
1,1.054356,0,2,61,3,9,8
1,0.983949,0,1,27,2,9,1
1,0.812471,0,2,33,2,11,2
1,0.941661,0,1,31,2,11,1
1,1.5904,1,3,116,2,1,7
1,0.85942,0,2,70,3,12,1
1,1.552838,0,2,46,2,12,2
1,1.173853,0,1,113,2,1,5
1,1.379513,1,1,51,3,9,2
1,1.058156,0,2,136,4,3,5
1,1.080253,0,1,29,2,10,8
1,1.555384,0,1,125,3,4,6
1,1.45319,1,1,110,2,1,5
1,1.174895,0,1,3,1,9,1
1,2.165461,1,3,59,3,12,4
1,0.990921,0,2,118,2,1,6
1,1.159095,0,2,34,2,12,2
1,1.573198,1,1,50,3,9,2
1,1.119725,0,3,104,1,2,7
1,1.323856,0,1,137,4,3,6
1,1.663622,1,3,143,4,3,7
1,1.653066,1,3,95,4,12,3
1,0.701056,0,2,112,2,1,6
1,0.770655,0,2,129,3,4,5
1,0.987278,0,1,111,2,1,5
1,1.40143,0,3,42,2,10,4
1,1.909284,1,3,138,4,3,7
1,1.257367,1,3,71,3,12,3
1,1.470964,1,1,98,1,2,5
1,1.113677,0,2,76,4,10,1
1,1.176091,0,2,97,1,2,6
1,0.92265,0,1,7,1,11,1
1,1.102523,0,1,65,3,10,2
1,1.211246,0,1,19,1,11,8
1,0.759984,0,2,13,1,9,2
1,1.188768,0,3,47,2,12,4
1,1.421119,0,3,128,3,4,7
1,1.676131,0,3,72,3,12,4
1,0.901574,0,2,10,1,12,2
1,1.204727,0,1,91,4,11,2
1,1.535715,0,3,92,4,11,3
1,3.665684,0,3,144,4,3,7
1,1.822927,1,3,107,1,2,7
1,1.254668,0,3,119,2,1,7
1,1.079927,0,3,80,4,11,4
1,1.180788,0,3,12,1,12,4
1,1.036694,0,3,90,4,10,4
1,0.783676,0,2,52,3,10,1
1,1.341324,0,3,30,2,10,3
1,1.143324,0,2,57,3,11,8
1,0.978715,0,3,23,1,12,4
1,0.858701,0,3,11,1,12,3
1,0.87257,0,3,54,3,10,3
1,1.254066,0,3,68,3,11,3
1,1.091131,0,3,66,3,10,4
1,0.819905,0,2,69,3,11,1
1,1.009203,0,2,88,4,10,8
1,1.140556,0,1,139,4,3,6
1,1.623113,0,2,37,2,9,2
1,1.859156,0,3,83,4,12,4
1,1.255075,0,2,136,4,3,5
1,0.896456,0,1,7,1,11,1
1,1.443882,1,2,118,2,1,6
1,1.252673,0,2,73,4,9,1
1,0.965241,0,3,96,4,12,4
1,1.172061,1,1,115,2,1,5
1,1.305891,0,3,60,3,12,3
1,1.133599,0,3,119,2,1,7
1,0.800613,0,2,129,3,4,5
1,0.666915,0,1,87,4,9,2
1,0.775959,0,1,51,3,9,2
1,0.801092,0,1,134,4,3,6
1,1.246058,0,2,10,1,12,2
1,0.939447,0,1,123,3,4,6
1,1.392435,0,1,135,4,3,6
1,1.362256,0,3,48,2,12,3
1,1.043079,0,1,111,2,1,5
1,1.375289,0,1,41,2,10,1
1,1.18431,0,1,62,3,9,2
1,0.923197,0,2,4,1,10,2
1,0.774751,0,1,79,4,11,2
1,1.071926,0,3,114,2,1,7
1,1.356583,0,3,102,1,2,7
1,0.884116,0,1,75,4,9,2
1,0.871368,0,2,33,2,11,2
1,0.977373,1,2,52,3,10,1
1,0.832209,0,1,27,2,9,1
1,1.384663,0,1,29,2,10,8
1,1.017103,0,2,81,4,11,8
1,1.112188,0,1,31,2,11,1
1,1.14541,0,1,19,1,11,8
1,1.027212,0,1,5,1,10,8
1,1.050268,0,1,63,3,9,2
1,0.860143,0,1,103,1,2,5
1,0.767955,0,1,2,1,9,8
1,1.649859,0,3,95,4,12,3
1,0.935839,0,3,32,2,11,4
1,1.362463,0,2,28,2,10,2
1,0.770625,0,2,76,4,10,1
1,1.030994,0,3,23,1,12,4
1,1.093369,1,2,88,4,10,8
1,1.177486,1,3,138,4,3,7
