name,rt,correct_key,error,trial,pair1,pair2,trial_types,validity
50,0.922702,1,0,31,3,11,1,1
50,0.575787,2,0,29,3,10,1,1
50,0.660098,2,0,17,2,10,1,1
50,0.492775,1,0,80,3,11,2,2
50,0.69883,2,0,53,1,10,3,2
50,0.593021,1,0,16,2,10,1,1
50,0.748756,1,0,112,2,1,3,2
50,0.577102,1,0,32,3,11,1,1
50,0.532633,1,0,127,3,4,1,1
50,0.834794,2,0,73,3,9,3,2
50,0.779748,2,0,102,1,2,3,2
50,0.61554,1,0,88,4,10,3,2
50,0.576775,1,0,6,1,10,1,1
50,0.797419,1,0,91,4,11,0,2
50,1.32693,1,0,63,2,9,1,1
50,0.485024,1,0,138,4,3,1,1
50,0.699592,1,0,4,1,10,1,1
50,0.498679,1,0,36,3,12,1,1
50,0.609651,1,0,135,4,3,1,1
50,0.460066,1,0,101,1,2,1,1
50,0.403969,1,0,69,2,11,1,1
50,0.663104,2,0,72,2,12,1,1
50,0.703147,2,0,67,2,11,3,2
50,0.613977,2,0,129,3,4,2,2
50,0.432096,1,0,68,2,11,0,2
50,0.640611,1,0,109,2,1,2,2
50,0.674296,2,0,9,1,11,1,1
50,0.540137,2,0,117,2,1,1,1
50,0.465011,2,0,25,3,9,1,1
50,0.441719,2,1,78,3,10,3,2
50,0.730728,2,0,131,3,4,3,2
50,0.600038,2,0,3,1,9,1,1
50,0.530075,2,0,48,4,12,1,1
50,0.608042,2,0,105,1,2,2,2
50,0.473904,1,0,120,2,1,1,1
50,0.46569,1,0,37,4,9,1,1
50,0.586384,1,0,45,4,11,1,1
50,0.613585,1,0,137,4,3,3,2
50,0.583678,2,0,22,2,12,1,1
50,0.754527,2,0,94,4,12,0,2
50,0.695733,1,0,58,1,12,0,2
50,0.526056,1,0,93,4,11,0,2
50,0.491933,1,0,92,4,11,1,1
50,0.627374,2,0,79,3,11,2,2
50,0.692621,2,0,113,2,1,2,2
50,0.516037,1,0,14,2,9,1,1
50,0.713657,1,0,144,4,3,2,2
50,0.712276,1,0,106,1,2,3,2
50,0.55761,2,0,44,4,11,1,1
50,0.634617,1,0,66,2,10,0,2
50,0.644287,2,0,108,1,2,1,1
50,0.525878,1,0,118,2,1,1,1
50,0.475957,1,0,50,1,9,1,1
50,0.65145,2,0,52,1,10,0,2
50,0.524296,2,0,57,1,11,1,1
50,0.530035,1,0,65,2,10,0,2
50,0.550763,1,0,47,4,12,1,1
50,0.571421,2,0,70,2,12,1,1
50,0.728035,2,0,62,2,9,0,2
50,0.445076,1,0,1,1,9,1,1
50,0.558825,2,0,142,4,3,2,2
50,0.522503,2,0,95,4,12,1,1
50,0.440517,1,0,71,2,12,2,2
50,0.514071,2,0,140,4,3,3,2
50,0.584517,2,0,87,4,9,3,2
50,0.627686,1,0,11,1,12,1,1
50,0.549333,2,0,8,1,11,1,1
50,0.522034,1,0,55,1,11,0,2
50,0.543694,2,0,76,3,10,1,1
50,0.589909,2,0,61,2,9,2,2
50,0.648671,1,0,15,2,9,1,1
50,0.609564,2,0,133,4,3,1,1
50,0.571224,1,0,143,4,3,2,2
50,0.528253,1,0,77,3,10,1,1
50,0.525711,1,0,81,3,11,1,1
50,0.651836,2,0,60,1,12,1,1
