name,rt,error,correct_key,trial,pair1,pair2,trial_types
1,0.704963,0,1,73,4,9,2
1,1.03826,0,3,52,3,10,4
1,1.069915,0,3,127,3,4,7
1,1.204156,0,1,61,3,9,2
1,1.076874,0,2,140,4,3,5
1,1.01068,0,1,137,4,3,6
1,0.890392,0,2,111,2,1,6
1,1.103808,0,3,76,4,10,4
1,1.499568,0,1,35,2,12,8
1,1.239906,0,3,124,3,4,7
1,1.118984,0,1,37,2,9,1
1,1.186619,0,3,4,1,10,3
1,1.306049,0,2,128,3,4,5
1,0.741805,0,2,80,4,11,1
1,0.617353,0,1,70,3,12,2
1,0.978979,0,3,43,2,11,4
1,1.388254,0,3,100,1,2,7
1,1.341041,0,3,126,3,4,7
1,0.783287,0,2,33,2,11,2
1,0.664809,0,2,8,1,11,2
1,0.775741,0,1,77,4,10,2
1,1.162705,0,1,133,4,3,6
1,1.308676,0,1,29,2,10,1
1,1.095918,0,3,64,3,10,3
1,0.965413,0,1,5,1,10,1
1,1.927553,0,3,2,1,9,4
1,1.824727,0,1,47,2,12,1
1,0.791711,0,2,12,1,12,2
1,0.640528,0,1,89,4,10,2
1,1.529773,0,3,139,4,3,7
1,0.988117,1,1,119,2,1,5
1,0.693449,0,2,120,2,1,6
1,0.914121,0,1,11,1,12,8
1,1.094302,0,3,28,2,10,3
1,1.531974,0,3,98,1,2,7
1,0.926458,0,2,104,1,2,6
1,1.080899,0,1,46,2,12,8
1,0.645953,0,1,53,3,10,2
1,0.709668,0,2,27,2,9,2
1,1.811553,0,1,1,1,9,8
1,0.929239,0,2,36,2,12,2
1,1.133533,0,1,95,4,12,2
1,1.287616,0,1,131,3,4,6
1,1.388418,0,3,66,3,10,4
1,1.813594,1,1,82,4,12,2
1,0.707241,0,2,56,3,11,1
1,0.736747,1,3,115,2,1,7
1,0.780105,0,2,60,3,12,8
1,0.958796,0,3,55,3,11,3
1,1.416145,0,1,142,4,3,6
1,1.311298,1,2,92,4,11,8
1,0.778459,0,2,141,4,3,5
1,1.093043,0,3,79,4,11,3
1,0.921107,0,1,10,1,12,1
1,2.013404,0,1,143,4,3,6
1,1.002725,1,1,101,1,2,5
1,2.300715,1,1,85,4,9,2
1,1.134315,0,3,40,2,10,4
1,1.337332,0,3,6,1,10,4
1,1.116087,0,3,86,4,9,3
1,1.52862,1,2,32,2,11,2
1,1.234863,0,2,24,1,12,2
1,1.512845,1,1,109,2,1,5
1,0.812537,0,2,144,4,3,5
1,1.164744,0,2,20,1,11,2
1,1.159003,1,3,88,4,10,3
1,0.689609,0,2,84,4,12,8
1,0.895922,0,3,90,4,10,4
1,1.386843,1,3,102,1,2,7
1,0.97979,0,2,69,3,11,8
1,0.67029,0,2,15,1,9,2
1,1.029737,0,1,17,1,10,8
1,0.612531,0,1,130,3,4,6
1,0.732247,0,2,63,3,9,1
1,0.96921,0,1,13,1,9,1
1,1.187621,0,3,7,1,11,3
1,1.140271,0,1,23,1,12,1
1,1.182517,1,2,44,2,11,2
1,2.487359,0,2,68,3,11,8
1,1.010074,0,1,22,1,12,8
1,0.818214,0,1,58,3,12,2
1,1.067232,0,3,62,3,9,3
1,0.857645,0,1,65,3,10,2
1,0.999455,0,2,45,2,11,2
1,1.089339,0,3,114,2,1,7
1,0.766204,0,2,105,1,2,6
1,1.68001,0,3,54,3,10,3
1,1.692185,0,3,103,1,2,7
1,1.207054,0,1,113,2,1,5
1,1.440016,0,3,18,1,10,3
1,0.694733,0,2,81,4,11,1
1,1.307652,0,3,42,2,10,3
1,0.791066,0,3,26,2,9,4
1,0.68055,0,3,122,3,4,7
1,1.30271,0,3,136,4,3,7
1,0.995189,0,3,112,2,1,7
1,0.941381,0,3,14,1,9,3
1,1.072336,0,3,16,1,10,4
1,1.060527,0,3,38,2,9,3
2,2.753402,1,1,13,1,9,8
2,3.295297,0,1,131,3,4,6
2,1.832723,0,1,107,1,2,5
2,1.372381,0,2,64,3,10,8
2,1.594036,0,2,112,2,1,6
2,1.568165,0,3,2,1,9,3
2,2.175145,1,1,1,1,9,1
2,4.245355,0,1,49,3,9,2
2,1.74477,0,1,121,3,4,6
2,1.311926,0,2,132,3,4,5
2,1.321516,0,2,108,1,2,6
2,1.489181,0,3,101,1,2,7
2,2.555736,0,1,68,3,11,2
2,3.098938,1,2,75,4,9,1
2,1.372032,0,3,34,2,12,3
2,1.290906,0,3,38,2,9,4
2,1.468537,0,1,20,1,11,1
2,1.335648,0,3,113,2,1,7
2,1.726659,0,3,21,1,11,3
2,1.944121,0,1,143,4,3,6
2,1.942915,0,3,57,3,11,3
2,2.062465,0,3,81,4,11,3
2,1.11385,0,2,67,3,11,1
2,1.097729,0,1,6,1,10,8
2,1.419969,0,1,54,3,10,2
2,1.000595,0,3,105,1,2,7
2,1.093513,0,2,3,1,9,2
2,1.431145,0,2,120,2,1,6
2,1.194658,0,1,109,2,1,5
2,1.025693,0,1,11,1,12,1
2,1.333833,0,2,40,2,10,2
2,1.573684,0,3,94,4,12,4
2,1.508248,1,2,28,2,10,2
2,2.813513,0,3,117,2,1,7
2,1.570245,0,3,26,2,9,3
2,1.257277,0,1,126,3,4,6
2,1.363573,0,3,29,2,10,4
2,1.370912,0,3,65,3,10,3
2,1.545013,0,3,50,3,9,4
2,2.112657,0,2,16,1,10,2
2,1.434016,0,3,110,2,1,7
2,1.373241,1,2,55,3,11,8
2,1.635914,0,3,69,3,11,4
2,1.312217,0,3,137,4,3,7
2,1.296863,0,3,58,3,12,3
2,0.946319,0,3,118,2,1,7
2,2.145697,1,3,62,3,9,3
2,1.089114,0,2,7,1,11,2
