name,rt,correct_key,error,trial,pair1,pair2,trial_types,validity
1,0.686453,1,1,125,3,4,3,2
1,0.938015,2,0,119,2,1,2,2
1,0.499889,2,1,42,4,10,0,2
1,0.927395,1,0,53,1,10,1,1
1,0.673595,2,0,113,2,1,1,1
1,0.758139,2,0,144,4,3,2,2
1,0.84689,1,0,66,2,10,1,1
1,0.661289,2,0,17,2,10,1,1
1,0.481714,1,1,92,4,11,1,1
1,0.949598,1,1,58,1,12,1,1
1,0.902298,2,0,21,2,11,3,2
1,0.617114,2,0,54,1,10,1,1
1,0.63998,2,0,12,1,12,3,2
1,0.573846,1,0,56,1,11,1,1
1,0.846783,1,0,141,4,3,1,1
1,0.747489,2,1,23,2,12,0,2
1,0.532586,1,1,48,4,12,0,2
1,0.550838,1,0,105,1,2,1,1
1,1.552506,2,1,135,4,3,1,1
1,1.113087,1,1,111,2,1,1,1
1,0.939806,2,0,98,1,2,1,1
1,0.597391,2,0,7,1,11,2,2
1,0.63676,2,0,71,2,12,1,1
1,0.410311,1,0,126,3,4,3,2
1,0.601951,2,1,110,2,1,3,2
1,0.689651,2,0,2,1,9,1,1
1,0.493371,1,0,8,1,11,1,1
1,0.761853,2,0,59,1,12,1,1
1,0.618869,2,0,108,1,2,2,2
1,0.657353,2,0,26,3,9,0,2
1,0.558668,2,0,41,4,10,2,2
1,0.383966,1,0,51,1,9,1,1
1,0.823559,2,1,19,2,11,1,1
1,0.694395,2,1,4,1,10,3,2
1,0.969986,2,1,122,3,4,1,1
1,0.627055,2,0,107,1,2,1,1
1,0.801919,1,1,57,1,11,1,1
1,0.809096,1,0,27,3,9,1,1
1,0.624513,2,0,94,4,12,1,1
1,1.158819,2,0,76,3,10,1,1
1,0.800417,2,0,81,3,11,1,1
1,0.807672,2,0,121,3,4,1,1
1,1.062748,1,0,43,4,11,0,2
1,0.747185,1,0,84,3,12,1,1
1,0.548455,2,0,38,4,9,1,1
1,0.63807,1,1,143,4,3,1,1
1,0.859948,2,0,73,3,9,1,1
1,1.032873,1,0,140,4,3,2,2
1,0.67113,2,0,124,3,4,3,2
1,0.587777,1,0,138,4,3,3,2
1,0.651579,2,0,68,2,11,1,1
1,0.504761,2,0,109,2,1,2,2
1,0.620375,1,0,117,2,1,1,1
1,0.626882,2,0,137,4,3,3,2
1,0.26557,1,0,36,3,12,1,1
1,0.349171,1,0,86,4,9,1,1
1,0.470336,2,0,35,3,12,0,2
1,0.25937,1,0,45,4,11,3,2
1,0.600328,1,1,1,1,9,1,1
1,0.879734,1,0,114,2,1,2,2
1,0.844296,1,0,31,3,11,0,2
1,1.025729,1,0,82,3,12,1,1
1,0.576207,1,0,28,3,10,0,2
1,0.584875,2,0,89,4,10,1,1
1,0.800957,1,1,22,2,12,2,2
1,0.647818,1,0,87,4,9,1,1
1,0.781217,2,0,142,4,3,1,1
1,0.5408,1,0,70,2,12,1,1
1,0.486272,2,0,29,3,10,1,1
1,0.458632,1,0,88,4,10,1,1
1,0.60743,1,0,67,2,11,1,1
1,0.54297,1,1,77,3,10,1,1
1,0.56865,1,0,74,3,9,1,1
1,0.369106,1,0,106,1,2,3,2
1,0.697678,1,0,65,2,10,1,1
1,0.628798,2,0,50,1,9,1,1
1,0.635954,2,0,72,2,12,1,1
1,0.505494,1,0,95,4,12,1,1
1,0.501126,1,0,99,1,2,1,1
1,1.008401,2,0,14,2,9,0,2
1,0.639558,2,0,30,3,10,3,2
1,0.437627,1,1,18,2,10,1,1
1,0.74919,2,0,60,1,12,1,1
1,0.454498,1,0,106,1,2,3,2
1,0.715801,2,0,72,2,12,1,1
1,0.63849,2,0,38,4,9,1,1
1,0.612274,1,0,4,1,10,3,2
1,0.603514,1,0,141,4,3,1,1
1,0.835201,2,0,139,4,3,3,2
1,0.496026,1,0,84,3,12,1,1
1,0.627855,1,0,55,1,11,1,1
1,0.602865,1,0,90,4,10,1,1
1,0.53769,1,0,82,3,12,1,1
1,0.603809,2,0,124,3,4,3,2
1,0.787037,2,0,119,2,1,2,2
1,0.307406,1,1,62,2,9,1,1
1,0.854506,2,1,34,3,12,2,2
1,0.63574,2,0,109,2,1,2,2
1,0.624961,2,0,83,3,12,1,1
1,1.016477,1,0,24,2,12,0,2
1,0.43896,1,0,74,3,9,1,1
1,0.620614,2,0,104,1,2,2,2
1,0.547819,1,0,44,4,11,1,1
1,0.564266,2,0,13,2,9,2,2
1,0.517606,1,0,70,2,12,1,1
1,0.471791,2,0,143,4,3,1,1
1,0.732565,1,0,97,1,2,3,2
1,0.574735,1,0,75,3,9,1,1
